,Survived,PassengerId,Pclass,Is female,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,SOTON ticket,STON ticket,C.A. ticket,PC ticket,Undefined ticket,Other tickets
38,1,291,1,1,26.0,0,0,78.85,0,0,1,0,0,0,0,1,0
39,0,722,3,0,17.0,1,0,7.0542,0,0,1,0,0,0,0,1,0
41,0,434,3,0,17.0,0,0,7.125,0,0,1,0,1,0,0,0,0
42,0,404,3,0,28.0,1,0,15.85,0,0,1,0,1,0,0,0,0
43,1,210,1,0,40.0,0,0,31.0,1,0,0,0,0,0,0,1,0
44,1,166,3,0,9.0,0,2,20.525,0,0,1,0,0,0,0,1,0
45,0,201,3,0,28.0,0,0,9.5,0,0,1,0,0,0,0,1,0
46,0,361,3,0,40.0,1,4,27.9,0,0,1,0,0,0,0,1,0
47,1,53,1,1,49.0,1,0,76.7292,1,0,0,0,0,0,1,0,0
49,0,60,3,0,11.0,5,2,46.9,0,0,1,0,0,0,0,0,1
50,1,262,3,0,3.0,4,2,31.3875,0,0,1,0,0,0,0,1,0
51,1,674,2,0,31.0,0,0,13.0,0,0,1,0,0,0,0,1,0
52,0,63,1,0,45.0,1,0,83.475,0,0,1,0,0,0,0,1,0
54,0,618,3,1,26.0,1,0,16.1,0,0,1,0,0,0,0,0,1
55,1,789,3,0,1.0,1,2,20.575,0,0,1,0,0,1,0,0,0
56,1,312,1,1,18.0,2,2,262.375,1,0,0,0,0,0,1,0,0
57,0,113,3,0,22.0,0,0,8.05,0,0,1,0,0,0,0,1,0
58,0,314,3,0,28.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
59,1,517,2,1,34.0,0,0,10.5,0,0,1,0,0,1,0,0,0
60,0,174,3,0,21.0,0,0,7.925,0,0,1,0,1,0,0,0,0
61,1,803,1,0,11.0,1,2,120.0,0,0,1,0,0,0,0,1,0
62,0,479,3,0,22.0,0,0,7.5208,0,0,1,0,0,0,0,1,0
64,0,684,3,0,14.0,5,2,46.9,0,0,1,0,0,0,0,0,1
66,0,229,2,0,18.0,0,0,13.0,0,0,1,0,0,0,0,1,0
67,0,121,2,0,21.0,2,0,73.5,0,0,1,0,0,0,0,0,1
68,0,526,3,0,40.5,0,0,7.75,0,1,0,0,0,0,0,1,0
71,0,28,1,0,19.0,3,2,263.0,0,0,1,0,0,0,0,1,0
73,1,487,1,1,35.0,1,0,90.0,0,0,1,0,0,0,0,1,0
75,0,364,3,0,35.0,0,0,7.05,0,0,1,1,0,0,0,0,0
76,1,124,2,1,32.5,0,0,13.0,0,0,1,0,0,0,0,1,0
77,0,165,3,0,1.0,4,1,39.6875,0,0,1,0,0,0,0,1,0
79,0,596,3,0,36.0,1,1,24.15,0,0,1,0,0,0,0,1,0
80,0,845,3,0,17.0,0,0,8.6625,0,0,1,0,0,0,0,1,0
81,1,510,3,0,26.0,0,0,56.4958,0,0,1,0,0,0,0,1,0
82,0,135,2,0,25.0,0,0,13.0,0,0,1,0,0,1,0,0,0
83,1,196,1,1,58.0,0,0,146.5208,1,0,0,0,0,0,1,0,0
84,1,377,3,1,22.0,0,0,7.25,0,0,1,0,0,0,0,0,1
85,1,745,3,0,31.0,0,0,7.925,0,0,1,0,1,0,0,0,0
86,0,729,2,0,25.0,1,0,26.0,0,0,1,0,0,0,0,1,0
87,1,661,1,0,50.0,2,0,133.65,0,0,1,0,0,0,1,0,0
88,0,437,3,1,21.0,2,2,34.375,0,0,1,0,0,0,0,0,1
89,1,9,3,1,27.0,0,2,11.1333,0,0,1,0,0,0,0,1,0
90,0,835,3,0,18.0,0,0,8.3,0,0,1,0,0,0,0,1,0
92,0,891,3,0,32.0,0,0,7.75,0,1,0,0,0,0,0,1,0
93,0,851,3,0,4.0,4,2,31.275,0,0,1,0,0,0,0,1,0
94,1,854,1,1,16.0,0,1,39.4,0,0,1,0,0,0,1,0,0
95,0,552,2,0,27.0,0,0,26.0,0,0,1,0,0,0,0,1,0
96,1,671,2,1,40.0,1,1,39.0,0,0,1,0,0,0,0,1,0
97,0,228,3,0,20.5,0,0,7.25,0,0,1,0,0,0,0,0,1
98,1,763,3,0,20.0,0,0,7.2292,1,0,0,0,0,0,0,1,0
99,0,591,3,0,35.0,0,0,7.125,0,0,1,0,1,0,0,0,0
101,0,104,3,0,33.0,0,0,8.6542,0,0,1,0,0,0,0,1,0
102,0,443,3,0,25.0,1,0,7.775,0,0,1,0,0,0,0,1,0
103,1,592,1,1,52.0,1,0,78.2667,1,0,0,0,0,0,0,1,0
104,0,584,1,0,36.0,0,0,40.125,1,0,0,0,0,0,0,1,0
105,0,277,3,1,45.0,0,0,7.75,0,0,1,0,0,0,0,1,0
106,1,514,1,1,54.0,1,0,59.4,1,0,0,0,0,0,1,0,0
108,1,856,3,1,18.0,0,1,9.35,0,0,1,0,0,0,0,1,0
109,1,390,2,1,17.0,0,0,12.0,1,0,0,0,0,0,0,0,1
111,0,500,3,0,24.0,0,0,7.7958,0,0,1,0,0,0,0,1,0
113,0,687,3,0,14.0,4,1,39.6875,0,0,1,0,0,0,0,1,0
114,0,73,2,0,21.0,0,0,73.5,0,0,1,0,0,0,0,0,1
115,0,887,2,0,27.0,0,0,13.0,0,0,1,0,0,0,0,1,0
117,0,41,3,1,40.0,1,0,9.475,0,0,1,0,0,0,0,1,0
119,1,484,3,1,63.0,0,0,9.5875,0,0,1,0,0,0,0,1,0
121,1,438,2,1,24.0,2,3,18.75,0,0,1,0,0,0,0,1,0
122,0,625,3,0,21.0,0,0,16.1,0,0,1,0,0,0,0,1,0
123,0,114,3,1,20.0,1,0,9.825,0,0,1,0,0,0,0,1,0
125,1,731,1,1,29.0,0,0,211.3375,0,0,1,0,0,0,0,1,0
129,0,848,3,0,35.0,0,0,7.8958,1,0,0,0,0,0,0,1,0
130,0,809,2,0,39.0,0,0,13.0,0,0,1,0,0,0,0,1,0
131,1,577,2,1,34.0,0,0,13.0,0,0,1,0,0,0,0,1,0
132,0,343,2,0,28.0,0,0,13.0,0,0,1,0,0,0,0,1,0
133,0,252,3,1,29.0,1,1,10.4625,0,0,1,0,0,0,0,1,0
135,0,515,3,0,24.0,0,0,7.4958,0,0,1,0,0,0,0,1,0
136,0,327,3,0,61.0,0,0,6.2375,0,0,1,0,0,0,0,1,0
137,0,144,3,0,19.0,0,0,6.75,0,1,0,0,0,0,0,1,0
138,0,629,3,0,26.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
141,1,459,2,1,50.0,0,0,10.5,0,0,1,0,0,0,0,0,1
142,1,485,1,0,25.0,1,0,91.0792,1,0,0,0,0,0,0,1,0
143,1,349,3,0,3.0,1,1,15.9,0,0,1,0,0,1,0,0,0
144,0,716,3,0,19.0,0,0,7.65,0,0,1,0,0,0,0,1,0
145,0,742,1,0,36.0,1,0,78.85,0,0,1,0,0,0,0,1,0
146,0,520,3,0,32.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
147,1,764,1,1,36.0,1,2,120.0,0,0,1,0,0,0,0,1,0
148,0,19,3,1,31.0,1,0,18.0,0,0,1,0,0,0,0,1,0
149,0,563,2,0,28.0,0,0,13.5,0,0,1,0,0,0,0,1,0
153,1,778,3,1,5.0,0,0,12.475,0,0,1,0,0,0,0,1,0
155,0,457,1,0,65.0,0,0,26.55,0,0,1,0,0,0,0,1,0
156,1,433,2,1,42.0,1,0,26.0,0,0,1,0,0,0,0,0,1
157,1,743,1,1,21.0,2,2,262.375,1,0,0,0,0,0,1,0,0
159,1,234,3,1,5.0,4,2,31.3875,0,0,1,0,0,0,0,1,0
160,1,57,2,1,21.0,0,0,10.5,0,0,1,0,0,1,0,0,0
164,0,168,3,1,45.0,1,4,27.9,0,0,1,0,0,0,0,1,0
165,0,158,3,0,30.0,0,0,8.05,0,0,1,1,0,0,0,0,0
166,1,270,1,1,35.0,0,0,135.6333,0,0,1,0,0,0,1,0,0
167,0,243,2,0,29.0,0,0,10.5,0,0,1,0,0,0,0,0,1
168,0,240,2,0,33.0,0,0,12.275,0,0,1,0,0,0,0,0,1
170,1,608,1,0,27.0,0,0,30.5,0,0,1,0,0,0,0,1,0
171,0,587,2,0,47.0,0,0,15.0,0,0,1,0,0,0,0,1,0
173,1,648,1,0,56.0,0,0,35.5,1,0,0,0,0,0,0,1,0
174,0,255,3,1,41.0,0,2,20.2125,0,0,1,0,0,0,0,1,0
176,0,136,2,0,23.0,0,0,15.0458,1,0,0,0,0,0,0,0,1
177,0,464,2,0,48.0,0,0,13.0,0,0,1,0,0,0,0,1,0
178,1,570,3,0,32.0,0,0,7.8542,0,0,1,0,0,0,0,1,0
179,1,126,3,0,12.0,1,0,11.2417,1,0,0,0,0,0,0,1,0
180,1,721,2,1,6.0,0,1,33.0,0,0,1,0,0,0,0,1,0
181,0,31,1,0,40.0,0,0,27.7208,1,0,0,0,0,0,1,0,0
183,0,621,3,0,27.0,1,0,14.4542,1,0,0,0,0,0,0,1,0
185,0,68,3,0,19.0,0,0,8.1583,0,0,1,0,0,0,0,0,1
186,1,392,3,0,21.0,0,0,7.7958,0,0,1,0,0,0,0,1,0
187,1,450,1,0,52.0,0,0,30.5,0,0,1,0,0,0,0,1,0
188,0,873,1,0,33.0,0,0,5.0,0,0,1,0,0,0,0,1,0
189,1,11,3,1,4.0,1,1,16.7,0,0,1,0,0,0,0,0,1
191,0,795,3,0,25.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
192,1,780,1,1,43.0,0,1,211.3375,0,0,1,0,0,0,0,1,0
193,0,509,3,0,28.0,0,0,22.525,0,0,1,0,0,0,0,0,1
195,0,34,2,0,66.0,0,0,10.5,0,0,1,0,0,1,0,0,0
196,0,172,3,0,4.0,4,1,29.125,0,1,0,0,0,0,0,1,0
197,1,447,2,1,13.0,0,1,19.5,0,0,1,0,0,0,0,1,0
198,0,537,1,0,45.0,0,0,26.55,0,0,1,0,0,0,0,1,0
199,0,386,2,0,18.0,0,0,73.5,0,0,1,0,0,0,0,0,1
201,1,371,1,0,25.0,1,0,55.4417,1,0,0,0,0,0,0,1,0
202,0,556,1,0,62.0,0,0,26.55,0,0,1,0,0,0,0,1,0
203,0,730,3,1,25.0,1,0,7.925,0,0,1,0,1,0,0,0,0
207,0,562,3,0,40.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
208,1,287,3,0,30.0,0,0,9.5,0,0,1,0,0,0,0,1,0
210,0,64,3,0,4.0,3,2,27.9,0,0,1,0,0,0,0,1,0
211,1,80,3,1,30.0,0,0,12.475,0,0,1,0,0,0,0,1,0
214,1,191,2,1,32.0,0,0,13.0,0,0,1,0,0,0,0,1,0
216,0,244,3,0,22.0,0,0,7.125,0,0,1,0,1,0,0,0,0
217,0,74,3,0,26.0,1,0,14.4542,1,0,0,0,0,0,0,1,0
218,1,268,3,0,25.0,1,0,7.775,0,0,1,0,0,0,0,1,0
219,0,148,3,1,9.0,2,2,34.375,0,0,1,0,0,0,0,0,1
220,0,118,2,0,29.0,1,0,21.0,0,0,1,0,0,0,0,1,0
221,0,87,3,0,16.0,1,3,34.375,0,0,1,0,0,0,0,0,1
222,0,814,3,1,6.0,4,2,31.275,0,0,1,0,0,0,0,1,0
223,1,10,2,1,14.0,1,0,30.0708,1,0,0,0,0,0,0,1,0
224,0,120,3,1,2.0,4,2,31.275,0,0,1,0,0,0,0,1,0
226,0,406,2,0,34.0,1,0,21.0,0,0,1,0,0,0,0,1,0
227,0,419,2,0,30.0,0,0,13.0,0,0,1,0,0,0,0,1,0
229,1,711,1,1,24.0,0,0,49.5042,1,0,0,0,0,0,1,0,0
230,1,601,2,1,24.0,2,1,27.0,0,0,1,0,0,0,0,1,0
231,0,842,2,0,16.0,0,0,10.5,0,0,1,0,0,0,0,0,1
232,0,475,3,1,22.0,0,0,9.8375,0,0,1,0,0,0,0,1,0
234,0,313,2,1,26.0,1,1,26.0,0,0,1,0,0,0,0,1,0
235,0,593,3,0,47.0,0,0,7.25,0,0,1,0,0,0,0,0,1
238,0,820,3,0,10.0,3,2,27.9,0,0,1,0,0,0,0,1,0
239,0,744,3,0,24.0,1,0,16.1,0,0,1,0,0,0,0,1,0
241,1,470,3,1,0.75,2,1,19.2583,1,0,0,0,0,0,0,1,0
242,0,206,3,1,2.0,0,1,10.4625,0,0,1,0,0,0,0,1,0
243,1,755,2,1,48.0,1,2,65.0,0,0,1,0,0,0,0,1,0
244,1,781,3,1,13.0,0,0,7.2292,1,0,0,0,0,0,0,1,0
246,1,571,2,0,62.0,0,0,10.5,0,0,1,0,0,0,0,0,1
247,0,746,1,0,70.0,1,1,71.0,0,0,1,0,0,0,0,0,1
248,0,294,3,1,24.0,0,0,8.85,0,0,1,0,0,0,0,1,0
249,1,208,3,0,26.0,0,0,18.7875,1,0,0,0,0,0,0,1,0
250,0,154,3,0,40.5,0,2,14.5,0,0,1,0,0,0,0,0,1
251,0,267,3,0,16.0,4,1,39.6875,0,0,1,0,0,0,0,1,0
252,1,317,2,1,24.0,1,0,26.0,0,0,1,0,0,0,0,1,0
253,0,620,2,0,26.0,0,0,10.5,0,0,1,0,0,0,0,1,0
254,1,559,1,1,39.0,1,1,79.65,0,0,1,0,0,0,0,1,0
257,0,477,2,0,34.0,1,0,21.0,0,0,1,0,0,0,0,1,0
258,1,219,1,1,32.0,0,0,76.2917,1,0,0,0,0,0,0,1,0
260,0,853,3,1,9.0,1,1,15.2458,1,0,0,0,0,0,0,1,0
261,0,409,3,0,21.0,0,0,7.775,0,0,1,0,0,0,0,1,0
262,1,328,2,1,36.0,0,0,13.0,0,0,1,0,0,0,0,1,0
263,0,321,3,0,22.0,0,0,7.25,0,0,1,0,0,0,0,0,1
264,1,22,2,0,34.0,0,0,13.0,0,0,1,0,0,0,0,1,0
266,1,490,3,0,9.0,1,1,15.9,0,0,1,0,0,1,0,0,0
267,0,315,2,0,43.0,1,1,26.25,0,0,1,0,0,0,0,0,1
268,1,162,2,1,40.0,0,0,15.75,0,0,1,0,0,1,0,0,0
269,0,736,3,0,28.5,0,0,16.1,0,0,1,0,0,0,0,1,0
270,0,543,3,1,11.0,4,2,31.275,0,0,1,0,0,0,0,1,0
271,1,3,3,1,26.0,0,0,7.925,0,0,1,0,1,0,0,0,0
273,0,533,3,0,17.0,1,1,7.2292,1,0,0,0,0,0,0,1,0
274,0,598,3,0,49.0,0,0,0.0,0,0,1,0,0,0,0,0,1
275,0,667,2,0,25.0,0,0,13.0,0,0,1,0,0,0,0,1,0
280,0,117,3,0,70.5,0,0,7.75,0,1,0,0,0,0,0,1,0
281,0,834,3,0,23.0,0,0,7.8542,0,0,1,0,0,0,0,1,0
282,1,461,1,0,48.0,0,0,26.55,0,0,1,0,0,0,0,1,0
283,1,395,3,1,24.0,0,2,16.7,0,0,1,0,0,0,0,0,1
284,1,82,3,0,29.0,0,0,9.5,0,0,1,0,0,0,0,1,0
285,1,2,1,1,38.0,1,0,71.2833,1,0,0,0,0,0,1,0,0
286,0,130,3,0,45.0,0,0,6.975,0,0,1,0,0,0,0,1,0
287,0,566,3,0,24.0,2,0,24.15,0,0,1,0,0,0,0,0,1
288,1,480,3,1,2.0,0,1,12.2875,0,0,1,0,0,0,0,1,0
289,1,456,3,0,29.0,0,0,7.8958,1,0,0,0,0,0,0,1,0
291,0,72,3,1,16.0,5,2,46.9,0,0,1,0,0,0,0,0,1
292,1,308,1,1,17.0,1,0,108.9,1,0,0,0,0,0,1,0,0
294,1,550,2,0,8.0,1,1,36.75,0,0,1,0,0,1,0,0,0
295,0,773,2,1,57.0,0,0,10.5,0,0,1,0,0,0,0,0,1
296,1,347,2,1,40.0,0,0,13.0,0,0,1,0,0,0,0,1,0
297,0,131,3,0,33.0,0,0,7.8958,1,0,0,0,0,0,0,1,0
298,0,373,3,0,19.0,0,0,8.05,0,0,1,0,0,0,0,1,0
299,1,339,3,0,45.0,0,0,8.05,0,0,1,0,0,0,0,1,0
301,1,227,2,0,19.0,0,0,10.5,0,0,1,0,0,0,0,0,1
302,1,221,3,0,16.0,0,0,8.05,0,0,1,1,0,0,0,0,0
303,0,350,3,0,42.0,0,0,8.6625,0,0,1,0,0,0,0,1,0
304,0,164,3,0,17.0,0,0,8.6625,0,0,1,0,0,0,0,1,0
305,1,75,3,0,32.0,0,0,56.4958,0,0,1,0,0,0,0,1,0
306,0,785,3,0,25.0,0,0,7.05,0,0,1,1,0,0,0,0,0
307,1,560,3,1,36.0,1,0,17.4,0,0,1,0,0,0,0,1,0
308,1,69,3,1,17.0,4,2,7.925,0,0,1,0,0,0,0,1,0
309,0,13,3,0,20.0,0,0,8.05,0,0,1,0,0,0,0,0,1
310,1,519,2,1,36.0,1,0,26.0,0,0,1,0,0,0,0,1,0
311,0,115,3,1,17.0,0,0,14.4583,1,0,0,0,0,0,0,1,0
313,0,659,2,0,23.0,0,0,13.0,0,0,1,0,0,0,0,1,0
314,1,185,3,1,4.0,0,2,22.025,0,0,1,0,0,0,0,1,0
315,0,375,3,1,3.0,3,1,21.075,0,0,1,0,0,0,0,1,0
316,0,232,3,0,29.0,0,0,7.775,0,0,1,0,0,0,0,1,0
317,1,248,2,1,24.0,0,2,14.5,0,0,1,0,0,0,0,1,0
319,1,394,1,1,23.0,1,0,113.275,1,0,0,0,0,0,0,1,0
320,1,616,2,1,24.0,1,2,65.0,0,0,1,0,0,0,0,1,0
321,0,149,2,0,36.5,0,2,26.0,0,0,1,0,0,0,0,1,0
322,1,292,1,1,19.0,1,0,91.0792,1,0,0,0,0,0,0,1,0
323,0,374,1,0,22.0,0,0,135.6333,1,0,0,0,0,0,1,0,0
324,1,623,3,0,20.0,1,1,15.7417,1,0,0,0,0,0,0,1,0
325,0,759,3,0,34.0,0,0,8.05,0,0,1,0,0,0,0,1,0
329,0,183,3,0,9.0,4,2,31.3875,0,0,1,0,0,0,0,1,0
330,1,678,3,1,18.0,0,0,9.8417,0,0,1,0,0,0,0,1,0
331,0,663,1,0,47.0,0,0,25.5875,0,0,1,0,0,0,0,1,0
332,0,488,1,0,58.0,0,0,29.7,1,0,0,0,0,0,0,1,0
333,0,379,3,0,20.0,0,0,4.0125,1,0,0,0,0,0,0,1,0
334,0,776,3,0,18.0,0,0,7.75,0,0,1,0,0,0,0,1,0
335,1,357,1,1,22.0,0,1,55.0,0,0,1,0,0,0,0,1,0
336,1,454,1,0,49.0,1,0,89.1042,1,0,0,0,0,0,0,1,0
337,0,52,3,0,21.0,0,0,7.8,0,0,1,0,0,0,0,0,1
340,1,541,1,1,36.0,0,2,71.0,0,0,1,0,0,0,0,0,1
341,0,442,3,0,20.0,0,0,9.5,0,0,1,0,0,0,0,1,0
342,0,363,3,1,45.0,0,1,14.4542,1,0,0,0,0,0,0,1,0
343,0,334,3,0,16.0,2,0,18.0,0,0,1,0,0,0,0,1,0
344,1,797,1,1,49.0,0,0,25.9292,0,0,1,0,0,0,0,1,0
346,0,226,3,0,22.0,0,0,9.35,0,0,1,0,0,0,0,0,1
347,0,669,3,0,43.0,0,0,8.05,0,0,1,0,0,0,0,0,1
348,1,636,2,1,28.0,0,0,13.0,0,0,1,0,0,0,0,1,0
349,1,341,2,0,2.0,1,1,26.0,0,0,1,0,0,0,0,1,0
350,1,306,1,0,0.92,1,2,151.55,0,0,1,0,0,0,0,1,0
351,0,106,3,0,28.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
352,0,253,1,0,62.0,0,0,26.55,0,0,1,0,0,0,0,1,0
353,0,139,3,0,16.0,0,0,9.2167,0,0,1,0,0,0,0,1,0
354,0,133,3,1,47.0,1,0,14.5,0,0,1,0,0,0,0,0,1
355,1,652,2,1,18.0,0,1,23.0,0,0,1,0,0,0,0,1,0
357,0,811,3,0,26.0,0,0,7.8875,0,0,1,0,0,0,0,1,0
358,1,551,1,0,17.0,0,2,110.8833,1,0,0,0,0,0,0,1,0
359,0,378,1,0,27.0,0,2,211.5,1,0,0,0,0,0,0,1,0
360,1,578,1,1,39.0,1,0,55.9,0,0,1,0,0,0,0,1,0
361,0,279,3,0,7.0,4,1,29.125,0,1,0,0,0,0,0,1,0
362,0,493,1,0,55.0,0,0,30.5,0,0,1,0,0,0,0,1,0
363,0,286,3,0,33.0,0,0,8.6625,1,0,0,0,0,0,0,1,0
364,0,123,2,0,32.5,1,0,30.0708,1,0,0,0,0,0,0,1,0
365,0,175,1,0,56.0,0,0,30.6958,1,0,0,0,0,0,0,1,0
366,1,391,1,0,36.0,1,2,120.0,0,0,1,0,0,0,0,1,0
367,1,511,3,0,29.0,0,0,7.75,0,1,0,0,0,0,0,1,0
368,1,802,2,1,31.0,1,1,26.25,0,0,1,0,0,1,0,0,0
369,1,346,2,1,24.0,0,0,13.0,0,0,1,0,0,0,0,1,0
370,1,142,3,1,22.0,0,0,7.75,0,0,1,0,0,0,0,1,0
371,0,568,3,1,29.0,0,4,21.075,0,0,1,0,0,0,0,1,0
372,0,817,3,1,23.0,0,0,7.925,0,0,1,0,1,0,0,0,0
374,1,417,2,1,34.0,1,1,32.5,0,0,1,0,0,0,0,1,0
375,1,766,1,1,51.0,1,0,77.9583,0,0,1,0,0,0,0,1,0
376,1,408,2,0,3.0,1,1,18.75,0,0,1,0,0,0,0,1,0
377,0,103,1,0,21.0,0,1,77.2875,0,0,1,0,0,0,0,1,0
378,0,266,2,0,36.0,0,0,10.5,0,0,1,0,0,1,0,0,0
379,0,737,3,1,48.0,1,3,34.375,0,0,1,0,0,0,0,0,1
380,1,26,3,1,38.0,1,5,31.3875,0,0,1,0,0,0,0,1,0
381,0,679,3,1,43.0,1,6,46.9,0,0,1,0,0,0,0,0,1
383,1,538,1,1,30.0,0,0,106.425,1,0,0,0,0,0,1,0,0
384,0,198,3,0,42.0,0,1,8.4042,0,0,1,0,0,0,0,1,0
385,0,818,2,0,31.0,1,1,37.0042,1,0,0,0,0,0,0,0,1
386,1,143,3,1,24.0,1,0,15.85,0,0,1,0,1,0,0,0,0
387,1,782,1,1,17.0,1,0,57.0,0,0,1,0,0,0,0,1,0
388,0,51,3,0,7.0,4,1,39.6875,0,0,1,0,0,0,0,1,0
389,1,12,1,1,58.0,0,0,26.55,0,0,1,0,0,0,0,1,0
390,0,595,2,0,37.0,1,0,26.0,0,0,1,0,0,0,0,0,1
391,1,513,1,0,36.0,0,0,26.2875,0,0,1,0,0,0,1,0,0
392,1,610,1,1,40.0,0,0,153.4625,0,0,1,0,0,0,1,0,0
394,1,323,2,1,30.0,0,0,12.35,0,1,0,0,0,0,0,1,0
395,1,280,3,1,35.0,1,1,20.25,0,0,1,0,0,1,0,0,0
396,0,397,3,1,31.0,0,0,7.8542,0,0,1,0,0,0,0,1,0
397,0,886,3,1,39.0,0,5,29.125,0,1,0,0,0,0,0,1,0
398,1,682,1,0,27.0,0,0,76.7292,1,0,0,0,0,0,1,0,0
399,0,38,3,0,21.0,0,0,8.05,0,0,1,0,0,0,0,0,1
400,0,696,2,0,52.0,0,0,13.5,0,0,1,0,0,0,0,1,0
401,1,231,1,1,35.0,1,0,83.475,0,0,1,0,0,0,0,1,0
403,1,310,1,1,30.0,0,0,56.9292,1,0,0,0,0,0,1,0,0
405,0,758,2,0,18.0,0,0,11.5,0,0,1,0,0,0,0,1,0
406,1,633,1,0,32.0,0,0,30.5,1,0,0,0,0,0,0,1,0
408,1,605,1,0,35.0,0,0,26.55,1,0,0,0,0,0,0,1,0
411,1,16,2,1,55.0,0,0,16.0,0,0,1,0,0,0,0,1,0
412,0,288,3,0,22.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
413,1,619,2,1,4.0,2,1,39.0,0,0,1,0,0,0,0,1,0
414,1,59,2,1,5.0,1,2,27.75,0,0,1,0,0,1,0,0,0
415,1,276,1,1,63.0,1,0,77.9583,0,0,1,0,0,0,0,1,0
416,0,750,3,0,31.0,0,0,7.75,0,1,0,0,0,0,0,1,0
419,0,247,3,1,25.0,0,0,7.775,0,0,1,0,0,0,0,1,0
420,1,205,3,0,18.0,0,0,8.05,0,0,1,0,0,0,0,0,1
421,1,98,1,0,23.0,0,1,63.3583,1,0,0,0,0,0,1,0,0
422,0,318,2,0,54.0,0,0,14.0,0,0,1,0,0,0,0,1,0
423,0,91,3,0,29.0,0,0,8.05,0,0,1,0,0,0,0,1,0
424,0,783,1,0,29.0,0,0,30.0,0,0,1,0,0,0,0,1,0
425,0,76,3,0,25.0,0,0,7.65,0,0,1,0,0,0,0,1,0
426,0,506,1,0,18.0,1,0,108.9,1,0,0,0,0,0,1,0,0
428,1,867,2,1,27.0,1,0,13.8583,1,0,0,0,0,0,0,0,1
429,0,606,3,0,36.0,1,0,15.55,0,0,1,0,0,0,0,1,0
431,1,134,2,1,29.0,1,0,26.0,0,0,1,0,0,0,0,1,0
432,0,762,3,0,41.0,0,0,7.125,0,0,1,1,0,0,0,0,0
433,1,195,1,1,44.0,0,0,27.7208,1,0,0,0,0,0,1,0,0
434,0,720,3,0,33.0,0,0,7.775,0,0,1,0,0,0,0,1,0
435,0,583,2,0,54.0,0,0,26.0,0,0,1,0,0,0,0,1,0
436,0,483,3,0,50.0,0,0,8.05,0,0,1,0,0,0,0,0,1
437,0,396,3,0,22.0,0,0,7.7958,0,0,1,0,0,0,0,1,0
